,name,difficulty_code,district,difficulty,description,polyline
147,35TH AVE NE,i,Current,#FFFF00,In street major separation,"[(47.70112198083562, -122.29070289277158), (47.70297779002505, -122.2907899004152), (47.70304944172881, -122.290793251328)]"
149,FREMONT AVE N,e,Current,#00FF00,Enhanced Street,"[(47.69687793081335, -122.3499867098671), (47.69781833625856, -122.34999785426842), (47.697823819475374, -122.34999794157538)]"
150,25TH AVE NE,d,Current,#FF0000,In street minor separation,"[(47.68667434675002, -122.30086884104257), (47.68671071740166, -122.30088813948747), (47.68674702425358, -122.30091037497321), (47.686782923407335, -122.30093401692527), (47.68681838910022, -122.300959049025), (47.68732572189314, -122.30132937733461), (47.68741243832884, -122.30139275015439), (47.687561582969536, -122.30149165863325), (47.68759642653842, -122.30151277448563), (47.68763353655439, -122.30153395545123), (47.68768733636855, -122.30156383004805)]"
152,20TH AVE S,i,Current,#FFFF00,In street major separation,"[(47.598791894565835, -122.30635830449162), (47.598319615919976, -122.30635968288102)]"
154,RAVENNA AVE NE,d,Current,#FF0000,In street minor separation,"[(47.68998386531661, -122.30155889436213), (47.69026736721782, -122.30167024466945)]"
156,PHINNEY AVE N,i,Current,#FFFF00,In street major separation,"[(47.674570157151955, -122.35436181013759), (47.675295169731875, -122.35434978663463)]"
160,31ST AVE S,d,Current,#FF0000,In street minor separation,"[(47.59348412290432, -122.29276321859943), (47.59328949986545, -122.29277046298232)]"
162,GREENWOOD AVE N,d,Current,#FF0000,In street minor separation,"[(47.70435905107159, -122.35544516465913), (47.705083542078086, -122.35545274727842)]"
165,BROADWAY,i,Current,#FFFF00,In street major separation,"[(47.61296336369163, -122.32076237952748), (47.6140756676755, -122.32078036878961)]"
167,FREMONT AVE N,e,Current,#00FF00,Enhanced Street,"[(47.693477295180294, -122.34994633664876), (47.69420140244454, -122.34995493499562)]"
169,SW MORGAN ST,i,Current,#FFFF00,In street major separation,"[(47.5447668166061, -122.38050566093416), (47.5448019169182, -122.3818293290621), (47.54480313745088, -122.38187539773274)]"
174,24TH AVE NW,d,Current,#FF0000,In street minor separation,"[(47.68318391470282, -122.3875589606326), (47.68497137736048, -122.38758469232559)]"
175,ROY ST,d,Current,#FF0000,In street minor separation,"[(47.6254522825945, -122.35539691068142), (47.62544738093117, -122.35409137924366)]"
179,19TH AVE E,d,Current,#FF0000,Sharrows,"[(47.62321298560023, -122.3073054318077), (47.62441928167427, -122.30728498730417)]"
