,name,difficulty_code,district,difficulty,description,polyline
5807,S HENDERSON ST,i,Current,#FFFF00,In street major separation,"[(47.52330887926473, -122.27140117586669), (47.5233076083319, -122.2700205802302), (47.523307268798725, -122.26998604080084)]"
5808,N NORTHLAKE WAY,e,Current,#00FF00,Multi use Trail,"[(47.64691083325158, -122.33841625630758), (47.64690023528836, -122.33823524685083), (47.64688948249268, -122.338062532734)]"
5809,24TH AVE NW,d,Current,#FF0000,In street minor separation,"[(47.675288451899334, -122.38758415268383), (47.67586627010505, -122.38758465873785), (47.6759484991826, -122.38758473062714)]"
5811,AIRPORT WAY S,i,Current,#FFFF00,In street major separation,"[(47.59492265338544, -122.32596705981949), (47.59462003073721, -122.32537158230399), (47.59447673283178, -122.32527817079907), (47.5941578670267, -122.32507145721962)]"
5816,S ALASKA ST,i,Current,#FFFF00,In street major separation,"[(47.56075015154602, -122.2876917011525), (47.56074860302376, -122.28727519820855), (47.560747677332564, -122.28702676107038)]"
5817,39TH AVE NE,e,Current,#00FF00,Enhanced Street,"[(47.67031863673605, -122.28576431818851), (47.672147867008874, -122.28578479238627)]"
5820,LINDEN AVE N,d,Current,#FF0000,In street minor separation,"[(47.68030701926705, -122.34727118622077), (47.68036546534361, -122.34726443527101), (47.680423794821756, -122.34725573508055), (47.68048197673054, -122.3472450920164), (47.680539982189835, -122.3472325135463), (47.68059778164534, -122.34721800503957), (47.68065534620307, -122.3472015750032), (47.68071264699671, -122.34718322986632), (47.68076965371462, -122.34716297913401), (47.6808263381229, -122.34714083445138), (47.68088267200126, -122.34711680642467), (47.68093862640001, -122.3470909077175), (47.680994173084784, -122.34706314997538), (47.68104928377988, -122.34703354796122)]"
5824,E ROY ST,i,Current,#FFFF00,In street major separation,"[(47.625049204172036, -122.3208929895515), (47.62546097775759, -122.320226409211)]"
5825,S JACKSON ST,d,Current,#FF0000,Sharrows,"[(47.59920774035377, -122.33590886743278), (47.59920733622297, -122.33566924952252)]"
5826,S JACKSON ST,d,Current,#FF0000,Sharrows,"[(47.59920733622297, -122.33566924952252), (47.59920718954312, -122.33558212395755), (47.599207040269526, -122.33549412655688), (47.59920694752489, -122.33543958885808)]"
5827,DEXTER AVE N,d,Current,#FF0000,In street minor separation,"[(47.636657618044474, -122.34279455167638), (47.63756127396794, -122.34332304043784), (47.63762011663363, -122.34335745593032)]"
5832,DEXTER AVE N,d,Current,#FF0000,In street minor separation,"[(47.631410782295646, -122.34228891849848), (47.63230008825053, -122.34228138990116)]"
5835,MADRONA DR,d,Current,#FF0000,In street minor separation,"[(47.61761432076626, -122.28456706612724), (47.61777730978792, -122.2846676349952), (47.61780024774047, -122.28467717614616), (47.61782297882859, -122.28468774659207), (47.617841748014946, -122.28469733549814), (47.61786404257417, -122.28470977079934), (47.617882420112316, -122.28472089774921), (47.61790420985181, -122.28473515863031), (47.617922137235, -122.28474778773497), (47.61793984053972, -122.28476108956282), (47.617960774769685, -122.28477792412208), (47.61798135098954, -122.28479569552248), (47.61799936793095, -122.28481230960534)]"
5838,8TH AVE NW,d,Current,#FF0000,In street minor separation,"[(47.66865338678036, -122.36617795321236), (47.668685331135606, -122.36617855756411), (47.66872208026634, -122.36617854603409), (47.66873073124814, -122.36617854344289), (47.66943046777484, -122.36617831258094)]"
5842,4TH AVE,i,Current,#FFFF00,In street major separation,"[(47.60251993902563, -122.32964538385724), (47.60323265481462, -122.33029746060431)]"
5844,1ST AVE N,i,Current,#FFFF00,In street major separation,"[(47.62093570634744, -122.35543382628434), (47.622103192385104, -122.35542417226314)]"
5845,FAUNTLEROY WAY SW,i,Current,#FFFF00,In street major separation,"[(47.54462014330387, -122.38869830487855), (47.544543196200024, -122.38915151456031)]"
5847,EASTLAKE AVE E,i,Current,#FFFF00,In street major separation,"[(47.65051917388993, -122.32209446621953), (47.65151204652128, -122.32132648474455)]"
5852,N 34TH ST,d,Current,#FF0000,In street minor separation,"[(47.64805148481295, -122.33754433571121), (47.648045089821466, -122.33635091720306)]"
5860,MERCER ST,d,Current,#FF0000,In street minor separation,"[(47.62457274188228, -122.35279216186053), (47.624569964294764, -122.35148741646982)]"
5861,NE 75TH ST,d,Current,#FF0000,In street minor separation,"[(47.683047326901125, -122.3018345435658), (47.683047219683665, -122.30129471521509), (47.68304738185503, -122.30088137000479), (47.683047428365605, -122.30075822946829)]"
5864,W THOMAS ST,e,Current,#00FF00,Multi use Trail,"[(47.62094105581581, -122.3606497006555), (47.62073612009616, -122.3609804284987), (47.62017967332884, -122.3618901603951)]"
5867,17TH AVE NW,e,Current,#00FF00,Enhanced Street,"[(47.674551031014445, -122.37888155805511), (47.67528031891262, -122.37888121402105)]"
5873,BROADWAY,i,Current,#FFFF00,In street major separation,"[(47.61640331904487, -122.32081712485356), (47.6175712903497, -122.32083583080171)]"
5876,17TH AVE NW,e,Current,#00FF00,Enhanced Street,"[(47.67236312741223, -122.37888148623422), (47.673092198268016, -122.3788822436513)]"
5883,ROOSEVELT WAY NE,i,Current,#FFFF00,In street major separation,"[(47.68155393187578, -122.31745696195142), (47.68211538693806, -122.31746869873017), (47.682124271918276, -122.31746888389603), (47.68213315828847, -122.31746907014117), (47.68214204255345, -122.31746925632608), (47.68223462388581, -122.31747154200063)]"
5885,SW ALASKA ST,e,Current,#00FF00,Multi use Trail,"[(47.5612043716756, -122.35072411880347), (47.561194416026524, -122.35151946242514)]"
5886,YESLER WAY,d,Current,#FF0000,In street minor separation,"[(47.6017233097302, -122.3363273359197), (47.60172549983456, -122.33623046890918), (47.60172492990007, -122.33611074108182), (47.60172456484492, -122.3360340583507)]"
5888,SW ALASKA ST,e,Current,#00FF00,Multi use Trail,"[(47.561194416026524, -122.35151946242514), (47.56119536267304, -122.35160337057528)]"
5891,BANNER WAY NE,d,Current,#FF0000,In street minor separation,"[(47.68395475486532, -122.3215689239449), (47.68462251388544, -122.32238617452934)]"
5893,E CHERRY ST,d,Current,#FF0000,In street minor separation,"[(47.60804262705261, -122.31284738276776), (47.608036914598536, -122.31154120464059)]"
5898,THORNDYKE AVE W,d,Current,#FF0000,In street minor separation,"[(47.64292778582102, -122.38457292115773), (47.64475974467624, -122.38324893333335)]"
5899,BEACON AVE S,d,Current,#FF0000,Sharrows,"[(47.54414180930298, -122.29965293903918), (47.54369252536814, -122.29951626390344)]"
5901,19TH AVE,d,Current,#FF0000,Sharrows,"[(47.610356877341204, -122.30760463692543), (47.61048910667048, -122.30756550642874), (47.611532421533106, -122.3075392242007)]"
5902,FREMONT AVE N,e,Current,#00FF00,Enhanced Street,"[(47.68475307091881, -122.34989092489471), (47.68548951213193, -122.34989580706058)]"
5903,DEXTER AVE N,d,Current,#FF0000,In street minor separation,"[(47.63342020224342, -122.34228296552376), (47.63396882659349, -122.34228374412844)]"
5904,EAST STEVENS WAY NE,d,Current,#FF0000,Sharrows,"[(47.66483813776697, -122.4105315853581), (47.664885927118384, -122.41095432766866)]"
5905,N 44TH ST,e,Current,#00FF00,Enhanced Street,"[(47.660296472922845, -122.33374316997774), (47.66029141390242, -122.33256381801098)]"
5907,S HENDERSON ST,i,Current,#FFFF00,In street major separation,"[(47.523310404497, -122.27283355606555), (47.52331038985498, -122.27281809323303), (47.52330887926473, -122.27140117586669)]"
5908,EASTLAKE AVE E,i,Current,#FFFF00,In street major separation,"[(47.62082387697498, -122.32914204112393), (47.62197548780656, -122.3291492342426)]"
5910,SWIFT AVE S,i,Current,#FFFF00,In street major separation,"[(47.54388532416931, -122.30451509046176), (47.543231063805635, -122.30381909338591), (47.54285429149712, -122.30347680095616)]"
5911,EAST MARGINAL WAY S,i,Current,#FFFF00,In street major separation,"[(47.57557977273693, -122.3399904034667), (47.575427351314964, -122.33999077724933), (47.57438844090078, -122.3399339595244)]"
5913,E YESLER WAY,i,Current,#FFFF00,In street major separation,"[(47.601693368736726, -122.3167818946113), (47.60169314698121, -122.31665015191986), (47.6016914630431, -122.31564684400684), (47.6016901954499, -122.31492850139828)]"
5918,STONE WAY N,d,Current,#FF0000,In street minor separation,"[(47.662865530655665, -122.34159597859924), (47.6629477798465, -122.34154722952226), (47.66322203518495, -122.34138467595089), (47.66324201235465, -122.3413728352369), (47.66349626410625, -122.34122213653055), (47.663578519505286, -122.34117338229909)]"
5919,BEACON AVE S,d,Current,#FF0000,Sharrows,"[(47.53443537847025, -122.28995342764769), (47.53436619502225, -122.28989742733587), (47.534047388846396, -122.28966999117118), (47.53381741578898, -122.28954005073732), (47.533747457258215, -122.28950025843578)]"
5927,GILMAN AVE W,i,Current,#FFFF00,In street major separation,"[(47.65587141207431, -122.38647924766907), (47.656058078015704, -122.3867093242737), (47.656107192943345, -122.38677093010047), (47.6565577374398, -122.38733606309691), (47.656657538770034, -122.38746124737568)]"
5928,EAST GREEN LAKE WAY N,i,Current,#FFFF00,In street major separation,"[(47.66940276882875, -122.34001675082953), (47.669566123949345, -122.34001438114902), (47.66969100738558, -122.34001256935518), (47.66983612993465, -122.34001046507609)]"
5935,20TH AVE NW,d,Current,#FF0000,In street minor separation,"[(47.67090775657994, -122.38221499345035), (47.67163673501971, -122.38221495511591)]"
5936,BROADWAY,i,Current,#FFFF00,In street major separation,"[(47.60924149975324, -122.32075677357403), (47.609577123167114, -122.32075734287551)]"
5942,8TH AVE S,i,Current,#FFFF00,In street major separation,"[(47.531952653893875, -122.32282371744641), (47.53186536287058, -122.32282518698118), (47.53123979662663, -122.322835691592)]"
5943,FREMONT AVE N,i,Current,#FFFF00,In street major separation,"[(47.66213558222119, -122.35003391452875), (47.66287542195084, -122.35002843627504)]"
5944,SW THISTLE ST,d,Current,#FF0000,In street minor separation,"[(47.528280423795614, -122.3658566866204), (47.528281086761055, -122.36720372756369)]"
5945,FREMONT AVE N,e,Current,#00FF00,Enhanced Street,"[(47.700540210576285, -122.35002946753598), (47.70144567821246, -122.35003997391979)]"
5946,5TH AVE NE,d,Current,#FF0000,In street minor separation,"[(47.68823223782803, -122.3229725295721), (47.68824029521315, -122.32297094234588), (47.688622544786874, -122.32297620181336), (47.688628236590695, -122.3229762797582)]"
5948,SW ADMIRAL WAY,i,Current,#FFFF00,In street major separation,"[(47.57147661735514, -122.37131991867591), (47.57152573904083, -122.37142372122446), (47.57158909419667, -122.37154491523916), (47.57163705350187, -122.37163946252821), (47.571704739172795, -122.37173168218516), (47.57176301387093, -122.37179161057776), (47.57183514898604, -122.37184612845728), (47.572083992800664, -122.371993272232)]"
5949,NE 50TH ST,i,Current,#FFFF00,In street major separation,"[(47.664990758223325, -122.32612582131924), (47.66498753448058, -122.32560802669863)]"
5953,DENSMORE AVE N,d,Current,#FF0000,Sharrows,"[(47.71957103008302, -122.33861784486227), (47.7195765530979, -122.33861496961192), (47.72172202630277, -122.3374968078502), (47.7220150993165, -122.33734405853687)]"
5954,15TH AVE E,d,Current,#FF0000,In street minor separation,"[(47.62310215556873, -122.31263095430711), (47.62326368288737, -122.31262328434246)]"
5955,QUEEN ANNE AVE N,d,Current,#FF0000,In street minor separation,"[(47.63716964020193, -122.35694134167314), (47.63838254440281, -122.35692659730154)]"
5956,GILMAN AVE W,i,Current,#FFFF00,In street major separation,"[(47.66031608210845, -122.39220881435244), (47.660389979340685, -122.39233728118869), (47.660497557488206, -122.39252430025716), (47.66062673066782, -122.39276612033404), (47.66067117903074, -122.39284933028884)]"
5958,16TH AVE SW,d,Current,#FF0000,Sharrows,"[(47.52561995889948, -122.35507779743774), (47.524706105617064, -122.35508272891816)]"
5959,S MCCLELLAN ST,d,Current,#FF0000,In street minor separation,"[(47.578341794396444, -122.28792252089578), (47.57834093526808, -122.28792087027408), (47.57834078045584, -122.28791985761056), (47.57834062353859, -122.28791884488818), (47.578340465217835, -122.28791783212667), (47.57834030546714, -122.28791682140006), (47.5783401436114, -122.28791581061454), (47.57833997965054, -122.28791479977032), (47.57833981427306, -122.2879137899238), (47.578339647478806, -122.28791278107516), (47.57833947787782, -122.28791177214814), (47.57833930825031, -122.28791076529495), (47.57833913653097, -122.2879097573462), (47.57833896267996, -122.28790875141263), (47.57833878672391, -122.28790774542013), (47.57833860935115, -122.28790674042554), (47.57833843057502, -122.28790573539179), (47.57833825038225, -122.28790473135568), (47.57833806736936, -122.28790372827838), (47.57833788364149, -122.28790272621842), (47.57833769780858, -122.28790172409973), (47.57833751055893, -122.28790072297869), (47.57833732120428, -122.28789972179904), (47.57833713041962, -122.28789872265409), (47.57833693752987, -122.28789772345034), (47.57833674323679, -122.28789672420747), (47.57833654750039, -122.28789572803639), (47.578336349672306, -122.28789473076945), (47.57833615042741, -122.28789373450044), (47.578335949064225, -122.28789273920947), (47.578335746284424, -122.28789174491645), (47.578335542101215, -122.2878907505843), (47.57833533579953, -122.28788975723018), (47.578335128094494, -122.28788876383697), (47.57833491824461, -122.28788777349602), (47.578334708394664, -122.28788678315499), (47.57833449433456, -122.28788579269647), (47.57833428026121, -122.28788480327489), (47.57833406336778, -122.28788381481195), (47.578333845759374, -122.28788282736632), (47.5783336267343, -122.28788184091863), (47.57833340490236, -122.2878808543926), (47.57833318093895, -122.28787986988169), (47.578332957663804, -122.28787888642742), (47.578332730893564, -122.28787790183812), (47.5783325040967, -122.28787691932291), (47.578332273804676, -122.28787593567264), (47.578332042056104, -122.28787495613119), (47.578331808904196, -122.28787397655056), (47.57833157434887, -122.28787299693083), (47.57833133837695, -122.28787201830883), (47.57833110028653, -122.2878710406651), (47.57833086077952, -122.28787006401912), (47.57833061915418, -122.2878690883514), (47.57833037681387, -122.28786811370114), (47.57833013165346, -122.28786714000938), (47.57832988577804, -122.28786616733512), (47.578329637784336, -122.28786519563903), (47.57832938838722, -122.28786422390385), (47.57832913685851, -122.28786325418375), (47.57832888392628, -122.28786228442458), (47.5783286295642, -122.28786131670019), (47.57832837379871, -122.28786034893666), (47.57832811591486, -122.28785938215128), (47.578327856601085, -122.28785841740066), (47.57832759516895, -122.28785745362842), (47.57832733234669, -122.28785648877991), (47.57832706809449, -122.28785552596614), (47.578326802412306, -122.28785456518733), (47.57832653462511, -122.28785360434965), (47.57832626542122, -122.28785264450983), (47.57832599480068, -122.28785168566785), (47.57832572204849, -122.28785072884098), (47.57832544789286, -122.28784977197502), (47.57832517232061, -122.28784881610682), (47.57832489461676, -122.28784786225393), (47.578324616211184, -122.28784690838147), (47.578324335674, -122.28784595652417), (47.57832405303166, -122.28784500460809), (47.578323768959415, -122.28784405472683), (47.57832348348381, -122.28784310480634), (47.578323196578204, -122.28784215692072), (47.578322908256034, -122.28784121003291), (47.57832261782869, -122.28784026308635), (47.578322325971406, -122.28783931817466), (47.5783220326975, -122.28783837426073), (47.57832173730522, -122.28783743132497), (47.57832143978132, -122.2878364904045), (47.57832114225737, -122.28783554948407), (47.57832084261514, -122.28783460954179), (47.57832054084124, -122.28783367161482), (47.57832023765073, -122.28783273468562), (47.57831993305681, -122.28783179771716), (47.57831962703283, -122.28783086278366), (47.57831931889061, -122.28782992882829), (47.57831900933165, -122.28782899587081), (47.57831869834288, -122.28782806494806), (47.57831838593736, -122.28782713502326), (47.57831807142671, -122.28782620503961), (47.57831775618792, -122.28782527711033), (47.57831743883067, -122.2878243501594), (47.57831711935514, -122.28782342418657), (47.57831679916466, -122.28782249923128), (47.57831647684251, -122.28782157629112), (47.5783161538186, -122.28782065333147), (47.57831582794821, -122.28781973340429), (47.57831550137603, -122.28781881345765), (47.57831517337399, -122.28781789554593), (47.57831484325354, -122.28781697861224), (47.57831451171653, -122.28781606267655), (47.57831417876278, -122.28781514773861), (47.578313844392305, -122.28781423379841), (47.57831350790353, -122.28781332083642), (47.57831317068656, -122.28781240992905), (47.57831283135117, -122.2878114999998), (47.578312490585844, -122.28781059210533), (47.57831214841716, -122.2878096841717), (47.57831180481857, -122.28780877827299), (47.57831145910161, -122.28780787335238), (47.57831111195466, -122.28780697046675), (47.578310764106035, -122.28780606756142), (47.57831041342417, -122.28780516665178), (47.57831006201394, -122.28780426779655), (47.57830970920038, -122.28780336890212), (47.57830935425523, -122.28780247202293), (47.57830899789336, -122.28780157614159), (47.578308640803286, -122.28780068231463), (47.5783082822966, -122.28779978948545), (47.57830792167139, -122.28779889763469), (47.57830755891467, -122.28779800779893), (47.57830719475459, -122.28779711792414), (47.57830683055464, -122.28779623116034), (47.57830646354789, -122.28779534431813), (47.578306095813, -122.28779445953045), (47.578305725959645, -122.28779357572095), (47.578305354676445, -122.28779269394624), (47.578304981976565, -122.28779181316933), (47.57830460786001, -122.28779093339037), (47.578304232313485, -122.28779005564616), (47.57830385466188, -122.28778917784314), (47.57830347625557, -122.28778830416871), (47.578303096445836, -122.28778743045496), (47.57830271451772, -122.28778655771943), (47.57830233115972, -122.28778568701887), (47.57830194708671, -122.28778481733562), (47.578301560882096, -122.28778394966764), (47.578301173260805, -122.28778308299748), (47.57830078422288, -122.28778221732507), (47.57830039375507, -122.2877813536876), (47.578300001857244, -122.28778049208492), (47.57829960855603, -122.28777963044305), (47.57829921382494, -122.28777877083604), (47.57829881696224, -122.28777791324428), (47.57829841938448, -122.28777705666994), (47.57829802037684, -122.28777620213039), (47.578297619250876, -122.28777534856911), (47.57829721740995, -122.28777449602529), (47.57829681413904, -122.28777364551614), (47.57829640873658, -122.28777279702244), (47.57829600261904, -122.287771949546), (47.5782955943833, -122.28777110304796), (47.57829518541917, -122.28777025860417), (47.57829477432348, -122.28776941617572), (47.57829436181115, -122.28776857474509), (47.57829394858385, -122.28776773433191), (47.57829353322493, -122.28776689593386), (47.5782931171378, -122.28776605959038), (47.578292698932245, -122.28776522422508), (47.578292280011816, -122.28776438987708), (47.57829185894646, -122.28776355858149), (47.57829143647767, -122.28776272724669), (47.578291013267425, -122.2877618990032), (47.578290587952054, -122.28776107070108), (47.5782901618952, -122.28776024549047), (47.57828973442167, -122.28775942127757), (47.57828930482983, -122.28775859804281), (47.578288874509695, -122.28775777686266), (47.578288442058, -122.28775695769762), (47.5782880089046, -122.28775613851312), (47.57828757359307, -122.28775532341774), (47.578287138268244, -122.28775450935944), (47.57828670082499, -122.2877536962794), (47.57828626196515, -122.28775288419725), (47.57828582164885, -122.28775207622384), (47.57828537994243, -122.28775126717427), (47.578284936806085, -122.28775046015959), (47.57828449223974, -122.2877496551797), (47.57828404694522, -122.28774885225421), (47.578283598830666, -122.28774805028739), (47.57828315068955, -122.28774725039462), (47.57828270111854, -122.28774645253667), (47.57828224942915, -122.28774565565693), (47.578281797713224, -122.28774486085128), (47.57828134386571, -122.28774406806075), (47.578280888601526, -122.28774327626813), (47.578280431907366, -122.28774248651034), (47.57827997378335, -122.28774169878749), (47.578279514242624, -122.28774091206235), (47.57827905397365, -122.28774012739164), (47.57827859227479, -122.28773934475586), (47.57827812845761, -122.28773856309822), (47.57827766391219, -122.28773778349513), (47.578277197936785, -122.2877370059267), (47.57827673124646, -122.28773622937584), (47.57827626241124, -122.2877354558772), (47.57827579287431, -122.28773468235892), (47.5782753211925, -122.28773391189289), (47.57827484879579, -122.28773314244437), (47.578274374969055, -122.28773237503071), (47.57827389971247, -122.28773160965179), (47.57827342372765, -122.28773084632729), (47.57827294562444, -122.28773008398117), (47.578272466793024, -122.28772932368938), (47.578271986531654, -122.28772856543247), (47.57827150485358, -122.28772780817337), (47.57827102243412, -122.28772705400569), (47.57827053789627, -122.28772630081616), (47.578270052630145, -122.28772554968118), (47.57826956594741, -122.28772479954408), (47.578269077821496, -122.28772405247872), (47.57826858898064, -122.28772330643082), (47.578268098709785, -122.28772256241784), (47.57826760632059, -122.28772181938294), (47.57826711389166, -122.2877210794592), (47.57826661934435, -122.28772034051372), (47.578266124068755, -122.28771960362252), (47.57826562735001, -122.28771886980334), (47.57826512922793, -122.28771813594489), (47.57826462966252, -122.28771740515832), (47.578264129382234, -122.28771667538913), (47.5782636276721, -122.28771594765485), (47.578263124531944, -122.28771522195531), (47.578262620663565, -122.2877144983103), (47.57826211466362, -122.28771377668048), (47.57826160794868, -122.28771305606816), (47.57826110049224, -122.28771233854714), (47.57826059161913, -122.28771162202406), (47.57826008061437, -122.28771090751624), (47.578259569569866, -122.28771019611946), (47.57825905642035, -122.28770948466381), (47.578258542529205, -122.28770877629971), (47.57825802792321, -122.28770806895305), (47.57825751117224, -122.28770736465857), (47.57825699370639, -122.28770666138155), (47.578256474810566, -122.28770596013932), (47.57825595517327, -122.28770526198863), (47.57825543411927, -122.28770456483574), (47.57825491233708, -122.28770386973713), (47.57825438843653, -122.2877031756169), (47.57825386379449, -122.28770248458817), (47.57825333772258, -122.2877017955942), (47.578252811637284, -122.28770110763715), (47.57825228270551, -122.28770042271296), (47.57825175305873, -122.28769973880615), (47.5782512219688, -122.28769905797114), (47.57825069086561, -122.2876983781732), (47.57825015833242, -122.28769770041008), (47.57824962436941, -122.28769702468172), (47.57824908897639, -122.28769635098831), (47.57824855285518, -122.28769567934926), (47.57824801531732, -122.28769500870803), (47.578247477024696, -122.28769434219534), (47.57824693661376, -122.28769367666084), (47.57824639687796, -122.28769301322001), (47.57824585501046, -122.28769235179442), (47.57824531172637, -122.28769169136659), (47.57824476770086, -122.28769103403019), (47.57824422224531, -122.28769037872877), (47.57824367535993, -122.28768972546203), (47.57824312846122, -122.2876890732325), (47.578242580119365, -122.28768842407464), (47.57824203034762, -122.28768777695166), (47.5782414791459, -122.28768713186359), (47.57824092652752, -122.28768648777336), (47.57824037457108, -122.28768584681373), (47.57823982048301, -122.28768520786926), (47.578239265679976, -122.28768456994233), (47.57823870943374, -122.2876839350872), (47.57823815175753, -122.28768330226698), (47.578237593353215, -122.28768267150112), (47.5782370342206, -122.28768204278978), (47.57823647367144, -122.28768141507612), (47.57823591167888, -122.28768079043441), (47.57823534895826, -122.28768016784717), (47.57823478550939, -122.28767954731426), (47.578234220630556, -122.28767892881625), (47.578233655023524, -122.28767831237272), (47.578233087284914, -122.2876776979444), (47.57823252020819, -122.28767708664674), (47.57823195171473, -122.28767647634689), (47.57823138179139, -122.28767586808183), (47.57823081042491, -122.28767526288871), (47.5782302383434, -122.28767465871296), (47.578229665520475, -122.28767405762864), (47.57822909128085, -122.28767345754227), (47.57822851629976, -122.28767286054719), (47.57822793988871, -122.28767226558709), (47.578227362749466, -122.28767167268131), (47.57822678489529, -122.28767108079309), (47.57822620558458, -122.28767049301358), (47.578225625558986, -122.28766990625165), (47.578225044805166, -122.28766932154403), (47.578224462621364, -122.28766873887132), (47.57822387969612, -122.28766815928998), (47.578223295354256, -122.28766758070658), (47.57822271027088, -122.28766700521442), (47.57822212444594, -122.28766643281391), (47.578221537217686, -122.28766586037416), (47.57822094924797, -122.28766529102587), (47.57822036054997, -122.28766472373212), (47.57821977040876, -122.28766415951009), (47.57821917955268, -122.28766359630545), (47.5782185872533, -122.2876630361727), (47.57821799492749, -122.28766247811403), (47.578217401185036, -122.2876619210531), (47.578216806687834, -122.28766136812072), (47.57821621147557, -122.28766081620581), (47.57821561483345, -122.28766026632553), (47.5782150174498, -122.28765971953692), (47.57821441864954, -122.28765917374605), (47.57821246875211, -122.28765740863741)]"
5961,6TH AVE S,d,Current,#FF0000,In street minor separation,"[(47.59919275667762, -122.32636052564501), (47.59835381975249, -122.32636388519042)]"
5963,17TH AVE NW,e,Current,#00FF00,Enhanced Street,"[(47.666263986877546, -122.37888692420387), (47.66641064022682, -122.37888665026013), (47.666438055338396, -122.37888659878377)]"
5966,N 50TH ST,i,Current,#FFFF00,In street major separation,"[(47.66500238478615, -122.34373593819362), (47.66500570982861, -122.34366447933601), (47.66503744253085, -122.34208204528416)]"
5973,E YESLER WAY,d,Current,#FF0000,In street minor separation,"[(47.601688757918524, -122.31416192696105), (47.601688696353115, -122.31412917561978), (47.60168661184797, -122.31301112824708), (47.60168636004359, -122.31287736622693)]"
5978,NW 65TH ST,d,Current,#FF0000,Sharrows,"[(47.675991649512724, -122.3799721840268), (47.67599132447309, -122.38009674771575), (47.6759891781317, -122.38091871676254), (47.67598885117838, -122.38104375851857)]"
5981,20TH AVE NE,d,Current,#FF0000,In street minor separation,"[(47.66485433083056, -122.30650660067691), (47.666375606839765, -122.30649835494972), (47.66642598547985, -122.3064970695655)]"
5984,NE 65TH ST,d,Current,#FF0000,In street minor separation,"[(47.67590719569566, -122.32571085672411), (47.675907024224706, -122.32569527725391), (47.67590414567657, -122.3254367829119)]"
5986,EAST MARGINAL WAY S,i,Current,#FFFF00,In street major separation,"[(47.58184175664999, -122.33996381001637), (47.57981131538871, -122.33998001306587), (47.578817218227485, -122.33998245476596)]"
5988,BEACON AVE S,d,Current,#FF0000,Sharrows,"[(47.53896391054531, -122.2964735927974), (47.53759249807258, -122.2944277516897)]"
5991,BEACON AVE S,d,Current,#FF0000,Sharrows,"[(47.538957784357486, -122.29608148619864), (47.53769425441436, -122.2941997798142)]"
